slug,cmc_rank,volume_24h,percent_change_7d,market_cap,'binance-smart-chain','collectibles-nfts','defi','mineable',circulating/total_supply,price
cardano,0.0,3.9746328695280773,12.82723424741593,100.0,100.0,0.0,0.0,100.0,2.122528185350186,2.25812734841043
binance-coin,0.037105751391465686,2.65624624351765,15.418388868380061,98.03027412339137,100.0,0.0,0.0,0.0,2.194893571598742,421.6431759496388
tether,0.07421150278293137,99.99999999999999,12.952335605201888,94.07876464193097,100.0,0.0,0.0,0.0,2.0915293342712986,1.0001778709897917
xrp,0.11131725417439703,6.295997654924938,14.306661353839722,67.40079246737068,0.0,0.0,0.0,0.0,1.02616638900955,1.0426236143412335
solana,0.14842300556586274,5.389264766542686,15.065699849134988,66.55775595296728,0.0,0.0,0.0,0.0,1.2930395837065114,161.6823720766656
usd-coin,0.1855287569573284,4.286080101388549,12.953019236034235,44.10237045318429,100.0,0.0,0.0,0.0,2.194893571598742,0.9995449801031792
polkadot-new,0.22263450834879406,2.4546970765533356,13.44162126558778,43.65658404865064,100.0,0.0,0.0,0.0,1.9646627908463143,31.96877705306679
dogecoin,0.25974025974025977,1.763223821155663,13.813076772120894,40.55571658048042,100.0,0.0,0.0,100.0,2.194893571598742,0.2230101830089058
uniswap,0.29684601113172543,0.865205204080892,16.952483983412197,21.682127463644424,100.0,0.0,100.0,0.0,1.342451893513609,25.6360816647136
terra-luna,0.3339517625231911,1.5610805326305017,12.153849427996999,20.862213053268132,0.0,0.0,100.0,0.0,0.9023742943966158,37.737477138577134
avalanche,0.3710575139146568,1.7709953882511926,12.08223279475295,20.582408768484147,100.0,0.0,100.0,0.0,1.236135089169174,67.57039273465634
binance-usd,0.4081632653061225,8.028884183902557,12.952296491663345,17.987996805964467,100.0,0.0,0.0,0.0,2.194893571598742,0.9995964342398878
chainlink,0.44526901669758817,1.5591463921031599,14.666761473806917,16.60026574258483,100.0,0.0,100.0,0.0,1.0019325296086894,26.297439128225864
litecoin,0.48237476808905383,3.778313884261902,14.16294413974364,15.334647608503232,100.0,0.0,0.0,100.0,2.194893571598742,166.13219881309763
algorand,0.5194805194805194,0.7670985950342418,12.85486410242371,14.826345673698023,0.0,0.0,0.0,0.0,2.0135552728971557,1.7742977836036586
internet-computer,0.6307977736549166,0.44219013694723663,14.601757029641703,11.931876513783532,0.0,0.0,0.0,0.0,0.7715726145729667,51.841769724978036
polygon,0.6679035250463823,1.17199162260865,14.561864206537845,11.682291005995431,100.0,0.0,0.0,0.0,1.4644638597226387,1.266195380842214
cosmos,0.7050092764378479,1.3744134487316102,11.43596055593712,11.628210673886096,100.0,0.0,0.0,0.0,1.7419595457324708,37.83725671188742
filecoin,0.7421150278293136,1.8529758425396665,14.6696860420392,10.849850551346227,100.0,0.0,0.0,100.0,2.194893571598742,71.51819403246371
stellar,0.7792207792207793,0.7359718984973416,13.832194211003596,9.87711997982749,0.0,0.0,0.0,0.0,1.043751599930436,0.3003905564467078
vechain,0.8163265306122449,1.060971068217957,15.162791481514668,9.613555640456765,0.0,0.0,0.0,0.0,1.6279459590735286,0.10809763707176252
tron,0.8534322820037106,1.528333718904625,13.303253268519775,9.386891982852774,100.0,0.0,0.0,0.0,1.559554592893635,0.09473171982486689
axie-infinity,0.8905380333951765,4.0200121558667465,21.08168563425864,9.309756615466496,0.0,100.0,0.0,0.0,0.495049682418708,110.53908951423351
ethereum-classic,0.9276437847866421,1.4775727358948307,14.124053879974623,9.355418141710151,100.0,0.0,0.0,100.0,1.3573182859145667,51.92372948150904
ftx-token,0.9647495361781078,0.6349025494903503,13.522844229139947,9.208951546950908,0.0,0.0,0.0,0.0,0.7864155731722872,55.24655950607407
multi-collateral-dai,1.0018552875695734,0.6136571265109112,12.949721070540853,8.956861848520184,100.0,0.0,100.0,0.0,2.1948934058830036,1.0003861600717436
theta,1.038961038961039,0.5206490835820395,15.041297239680542,8.295559711004373,0.0,100.0,0.0,0.0,2.194893571598742,5.999209586087791
tezos,1.0760667903525047,1.0801871192891104,12.36400437874069,7.980919787470088,100.0,100.0,100.0,0.0,2.122760882114041,6.698932981480216
hedera-hashgraph,1.1131725417439704,0.42244693926666166,13.53591849294674,7.493289263349738,0.0,0.0,0.0,0.0,0.6510521916755934,0.3653414907057274
elrond-egld,1.2244897959183674,0.335159682065615,13.173439660151605,6.528967943727072,100.0,0.0,0.0,0.0,1.905248116038652,241.81488752439927
monero,1.261595547309833,0.3393075391200986,14.31415743302337,6.4184914841667196,0.0,0.0,0.0,100.0,2.194893571598742,257.82577860777013
pancakeswap,1.298701298701299,0.3996471590144317,13.71796252628451,6.273594374050637,100.0,0.0,100.0,0.0,2.194893571598742,19.95052492568346
